Trimestre,PIB,Sector Primario,Sector Secundario,Sector Terciario,INPC,PIB_INDICE
1980-T1,7547882.144,"320,668","2,864,063","4,081,059",0.05,41.01
1980-T2,7536518.992,"287,579","2,877,702","4,089,570",0.06,40.95
1980-T3,7478780.82,"304,949","2,935,853","3,958,468",0.06,40.63
1980-T4,8008666.64,"316,650","3,037,770","4,354,933",0.06,43.51
1981-T1,8229212.702,"335,401","3,142,427","4,443,827",0.07,44.71
1981-T2,8417818.004,"317,798","3,286,989","4,498,425",0.07,45.74
1981-T3,8211045.527,"322,028","3,312,083","4,270,056",0.08,44.61
1981-T4,8614524.865,"350,035","3,270,025","4,672,508",0.08,46.8
1982-T1,8512096.4,"355,697","3,269,031","4,569,239",0.09,46.25
1982-T2,8481760.759,"327,459","3,294,492","4,542,814",0.11,46.08
1982-T3,8198953.899,"302,563","3,236,596","4,353,370",0.13,44.55
1982-T4,8277251.689,"309,605","3,070,717","4,587,577",0.16,44.97
1983-T1,8120479.85,"337,303","2,905,809","4,573,874",0.2,44.12
1983-T2,7997531.117,"315,329","2,914,585","4,468,720",0.23,43.45
1983-T3,7764430.844,"313,932","2,898,295","4,262,018",0.26,42.19
1983-T4,8127328.588,"354,683","2,913,669","4,555,228",0.29,44.16
1984-T1,8384896.23,"339,541","2,973,296","4,758,684",0.34,45.56
1984-T2,8232124.573,"331,221","3,011,296","4,581,942",0.38,44.73
1984-T3,8119301.524,"321,378","3,076,299","4,418,175",0.42,44.11
1984-T4,8389536.374,"347,736","3,091,670","4,636,582",0.47,45.58
1985-T1,8539105.041,"335,041","3,141,886","4,743,040",0.54,46.39
1985-T2,8487030.468,"360,471","3,139,854","4,669,513",0.59,46.11
1985-T3,8193121.959,"321,073","3,164,352","4,401,489",0.66,44.52
1985-T4,8528896.049,"363,838","3,140,546","4,705,755",0.77,46.34
1986-T1,8208491.352,"355,884","2,982,532","4,563,294",0.91,44.6
1986-T2,8409218.652,"346,247","3,050,829","4,697,858",1.08,45.69
1986-T3,7769449.783,"323,900","2,890,543","4,264,634",1.29,42.21
1986-T4,8109501.791,"336,002","2,842,484","4,627,934",1.58,44.06
1987-T1,8119219.038,"352,817","2,895,723","4,567,234",1.95,44.11
1987-T2,8443175.116,"351,453","3,066,417","4,709,752",2.44,45.87
1987-T3,8038083.561,"324,635","3,090,423","4,322,612",3.05,43.67
1987-T4,8568977.287,"350,204","3,123,480","4,775,038",4.09,46.56
1988-T1,8378163.162,"341,084","3,073,402","4,650,554",5.37,45.52
1988-T2,8546889.028,"340,201","3,119,759","4,767,500",5.76,46.44
1988-T3,8031742.408,"310,088","3,065,880","4,355,598",5.95,43.64
1988-T4,8636950.844,"341,045","3,150,784","4,822,327",6.2,46.93
1989-T1,8575114.059,"337,292","3,146,100","4,771,237",6.5,46.59
1989-T2,8912465.891,"312,942","3,293,616","4,972,815",6.77,48.42
1989-T3,8452556.703,"318,386","3,243,889","4,574,378",6.97,45.92
1989-T4,8881444.762,"344,995","3,223,116","4,981,400",7.42,48.25
1990-T1,8964419.624,"335,248","3,353,354","4,940,784",8.09,48.71
1990-T2,9262515.905,"354,587","3,423,351","5,138,402",8.54,50.33
1990-T3,8885511.844,"311,549","3,452,428","4,789,449",8.97,48.28
1990-T4,9522792.509,"407,631","3,487,004","5,272,255",9.64,51.74
1991-T1,9268190.329,"343,401","3,426,135","5,152,266",10.2,50.36
1991-T2,9775235.335,"365,899","3,577,771","5,466,227",10.52,53.11
1991-T3,9176389.016,"317,056","3,504,123","5,012,253",10.79,49.86
1991-T4,9894608.989,"414,243","3,615,563","5,495,004",11.45,53.76
